,Saler,Production Year,Milage,Transmition,Quantity of doors,Color,Invoice,Country of origin,Accident-free,Serviced in aso,First registration,Polish registration,First owner,Alloy wheels,Description,price,location
40,Firmy,2007.0,183 000 km,Manualna,5,Srebrny,0.0,Polska,1.0,0.0,04/06/2007,1.0,0.0,0.0,0.0,8700,12
41,Osoby prywatnej,2010.0,169 000 km,Manualna,5,Szary,1.0,Niemcy,1.0,0.0,NaN,0.0,0.0,0.0,0.0,15900,9
42,Firmy,2009.0,220 000 km,Manualna,5,Niebieski,1.0,Niemcy,0.0,0.0,NaN,0.0,0.0,0.0,0.0,7950,16
43,Firmy,2011.0,79 300 km,Manualna,3,Biały,0.0,NaN,1.0,0.0,08/12/2011,1.0,0.0,1.0,0.0,13400,1
44,Osoby prywatnej,2011.0,154 000 km,Manualna,5,Szary,0.0,NaN,0.0,0.0,NaN,0.0,1.0,0.0,0.0,11500,1
45,Firmy,2006.0,59 300 km,Manualna,3,Czerwony,1.0,Niemcy,1.0,1.0,NaN,0.0,1.0,0.0,0.0,11400,15
46,Firmy,2007.0,246 000 km,Manualna,5,Niebieski,1.0,Niemcy,0.0,0.0,28/02/2007,0.0,0.0,0.0,0.0,9900,15
47,Firmy,2008.0,127 000 km,Manualna,5,Złoty,1.0,Niemcy,1.0,1.0,NaN,0.0,1.0,1.0,0.0,16500,12
48,Osoby prywatnej,2010.0,83 000 km,Manualna,5,Biały,1.0,Francja,1.0,1.0,13/03/2010,1.0,0.0,0.0,0.0,12400,15
49,Firmy,2009.0,165 000 km,Manualna,3,Czarny,1.0,Niemcy,0.0,0.0,NaN,0.0,0.0,0.0,0.0,9900,6
50,Firmy,2006.0,130 000 km,Manualna,3,Srebrny,0.0,NaN,0.0,0.0,24/01/2006,1.0,0.0,0.0,0.0,7900,16
51,Osoby prywatnej,2014.0,100 200 km,Manualna,5,Szary,0.0,NaN,0.0,0.0,NaN,1.0,0.0,0.0,0.0,14500,11
52,Osoby prywatnej,2012.0,64 040 km,Manualna,5,Szary,0.0,Francja,0.0,0.0,NaN,1.0,0.0,0.0,0.0,15000,15
53,Osoby prywatnej,2006.0,130 000 km,Manualna,5,Czarny,1.0,Niemcy,1.0,1.0,NaN,0.0,0.0,1.0,0.0,11900,6
54,Osoby prywatnej,2010.0,155 000 km,Manualna,5,Biały,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,13400,6
55,Firmy,2007.0,150 000 km,Manualna,3,Srebrny,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,4900,3
56,Osoby prywatnej,2007.0,65 000 km,Manualna,5,Srebrny,1.0,Niemcy,1.0,1.0,NaN,0.0,0.0,0.0,0.0,11400,3
57,Osoby prywatnej,2007.0,128 400 km,Manualna,5,Czarny,0.0,Niemcy,1.0,0.0,28/06/2007,1.0,0.0,1.0,0.0,11900,12
58,Osoby prywatnej,2012.0,135 000 km,Manualna,5,Biały,1.0,NaN,1.0,1.0,25/07/2012,1.0,0.0,0.0,0.0,12700,10
59,Osoby prywatnej,2006.0,165 500 km,Manualna,3,Czerwony,0.0,NaN,1.0,0.0,30/01/2006,0.0,0.0,0.0,0.0,5200,7
60,Osoby prywatnej,2011.0,125 000 km,Manualna,5,Szary,1.0,NaN,0.0,0.0,11/12/2011,0.0,0.0,1.0,0.0,13299,4
61,Osoby prywatnej,2007.0,142 700 km,Manualna,5,Czerwony,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,10900,15
62,Firmy,2009.0,194 650 km,Manualna,5,Srebrny,1.0,Niemcy,0.0,0.0,NaN,1.0,0.0,0.0,0.0,12900,7
63,Firmy,2007.0,144 000 km,Manualna,5,Niebieski,0.0,Niemcy,1.0,1.0,NaN,0.0,1.0,1.0,0.0,11200,15
64,Firmy,2008.0,314 000 km,Manualna,3,Czerwony,1.0,Szwecja,0.0,1.0,12/09/2008,0.0,1.0,0.0,0.0,6400,13
65,Osoby prywatnej,2012.0,160 661 km,Manualna,5,Biały,1.0,NaN,1.0,1.0,31/05/2012,0.0,0.0,0.0,0.0,17800,1
66,Firmy,2013.0,112 405 km,Manualna,5,Czerwony,0.0,Polska,0.0,1.0,28/11/2013,1.0,0.0,0.0,0.0,18000,7
67,Firmy,2010.0,86 000 km,Manualna,5,Biały,1.0,Niemcy,1.0,1.0,NaN,0.0,1.0,0.0,0.0,13333,7
68,Osoby prywatnej,2014.0,107 000 km,Manualna,5,Czerwony,0.0,Polska,1.0,1.0,26/02/2014,0.0,1.0,0.0,0.0,22900,12
69,Osoby prywatnej,2007.0,152 000 km,Manualna,3,Szary,1.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,8900,8
70,Firmy,2009.0,117 000 km,Manualna,5,Srebrny,1.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,12999,15
71,Firmy,2006.0,182 000 km,Manualna,5,Szary,1.0,NaN,0.0,0.0,22/06/2006,0.0,0.0,0.0,0.0,9200,2
